epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.596,1.08481,3.0891,1.29096,0.69568,0.13909,0.30001,0.22791,1.04068,3.34082,1.18578,0.0003636,0.0003636,0.0003636
2,336.365,1.23752,2.37757,1.38531,0.36836,0.24776,0.2614,0.12425,1.43888,3.09844,1.67188,0.000726667,0.000726667,0.000726667
3,495.908,1.26804,2.21317,1.41715,0.28482,0.40863,0.28101,0.17007,1.35301,2.79235,1.50437,0.0010824,0.0010824,0.0010824
4,657.655,1.30581,2.05771,1.40785,0.27928,0.28604,0.22432,0.14272,1.54308,2.80215,1.65624,0.001078,0.001078,0.001078
5,843.963,1.2794,2.0091,1.39616,0.52992,0.24769,0.24182,0.14094,1.66181,2.91954,1.71395,0.001067,0.001067,0.001067
6,1010.59,1.24724,1.95584,1.3777,0.40928,0.389,0.37854,0.24975,1.51023,2.32431,1.56891,0.00105601,0.00105601,0.00105601
7,1189.35,1.23466,1.8669,1.38617,0.42333,0.52848,0.4301,0.2586,1.37531,2.33332,1.53435,0.00104501,0.00104501,0.00104501
8,1359.4,1.19767,1.76319,1.34509,0.45502,0.47142,0.44031,0.28694,1.38871,2.33454,1.50394,0.00103401,0.00103401,0.00103401
9,1523.27,1.18447,1.74955,1.33914,0.39628,0.47421,0.39292,0.25911,1.33844,2.20832,1.48399,0.00102301,0.00102301,0.00102301
10,1686.3,1.14651,1.68172,1.31305,0.50104,0.35852,0.3978,0.24777,1.36369,2.17584,1.43821,0.00101201,0.00101201,0.00101201
11,1849.27,1.1703,1.66027,1.31978,0.48304,0.37614,0.43425,0.30114,1.27937,2.15376,1.45528,0.00100101,0.00100101,0.00100101
12,2012.67,1.12849,1.59759,1.30578,0.62295,0.38949,0.45846,0.31074,1.30265,1.93819,1.40398,0.000990012,0.000990012,0.000990012
13,2175.22,1.13653,1.55548,1.30132,0.77265,0.34846,0.44173,0.32036,1.2315,1.99556,1.33076,0.000979013,0.000979013,0.000979013
14,2336.17,1.11724,1.52576,1.29353,0.41394,0.43071,0.42684,0.32414,1.22513,2.00055,1.37524,0.000968014,0.000968014,0.000968014
15,2502.47,1.09995,1.52108,1.26807,0.48852,0.42651,0.46166,0.34351,1.25332,1.97309,1.42171,0.000957015,0.000957015,0.000957015
16,2663.17,1.07284,1.41886,1.25442,0.57293,0.44271,0.50531,0.36805,1.2177,1.8515,1.34914,0.000946016,0.000946016,0.000946016
17,2832.98,1.05529,1.42043,1.25172,0.5307,0.37082,0.42263,0.2892,1.27635,1.95531,1.41694,0.000935018,0.000935018,0.000935018
18,2996.33,1.06828,1.41071,1.27208,0.49319,0.40029,0.40164,0.28152,1.29704,2.23573,1.40057,0.000924019,0.000924019,0.000924019
19,3156.4,1.07257,1.35094,1.25726,0.56747,0.44255,0.47673,0.34572,1.27933,1.9134,1.39472,0.00091302,0.00091302,0.00091302
20,3321.33,1.04887,1.30486,1.24566,0.57589,0.48213,0.53997,0.38615,1.21416,1.72348,1.34975,0.000902021,0.000902021,0.000902021
21,3487.64,1.05495,1.30237,1.24203,0.6687,0.47726,0.48952,0.36004,1.17816,1.8497,1.33034,0.000891022,0.000891022,0.000891022
22,3653.26,1.05352,1.28398,1.2335,0.57323,0.45675,0.49879,0.38273,1.17362,1.77502,1.32612,0.000880023,0.000880023,0.000880023
23,3815.63,0.98901,1.2468,1.21615,0.57389,0.4801,0.52158,0.36927,1.24035,1.77213,1.37867,0.000869024,0.000869024,0.000869024
