epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.048,1.11994,3.06497,1.30721,0.34602,0.26414,0.28867,0.21625,1.18426,2.96304,1.34642,0.000366967,0.000366967,0.000366967
2,340.21,1.27713,2.49374,1.39708,0.72199,0.26436,0.32569,0.19694,1.38987,3.21276,1.60495,0.000700804,0.000700804,0.000700804
3,505.713,1.29241,2.2472,1.42153,0.42573,0.44887,0.40051,0.26936,1.32166,2.3242,1.43868,0.000997978,0.000997978,0.000997978
4,671.766,1.25972,2.10204,1.3869,0.36513,0.43876,0.34564,0.20234,1.42809,2.39684,1.61306,0.000946016,0.000946016,0.000946016
5,837.698,1.23975,2.01738,1.37411,0.36669,0.47847,0.42783,0.28963,1.29048,2.29201,1.42573,0.000891022,0.000891022,0.000891022
6,1005.74,1.20381,1.91819,1.35326,0.44215,0.49485,0.48537,0.34746,1.23097,1.98739,1.36885,0.000836027,0.000836027,0.000836027
7,1175.9,1.16588,1.85302,1.35427,0.64386,0.38645,0.43223,0.28227,1.30898,2.30413,1.49158,0.000781033,0.000781033,0.000781033
8,1341.42,1.16742,1.77222,1.32005,0.57945,0.44125,0.46724,0.32716,1.26884,2.13057,1.41426,0.000726038,0.000726038,0.000726038
9,1509.58,1.13959,1.71483,1.31028,0.42039,0.55355,0.49184,0.33875,1.15785,1.93812,1.34257,0.000671044,0.000671044,0.000671044
10,1675.99,1.10101,1.65106,1.28886,0.57731,0.46791,0.48921,0.35428,1.11017,1.91986,1.27715,0.000616049,0.000616049,0.000616049
11,1841.04,1.02367,1.64355,1.2545,0.6103,0.50426,0.52639,0.37735,1.16833,1.79377,1.32641,0.000561055,0.000561055,0.000561055
12,2005.47,0.97212,1.46237,1.22027,0.61259,0.51942,0.55035,0.4189,1.12353,1.75051,1.2922,0.00050606,0.00050606,0.00050606
13,2168.67,0.96467,1.3667,1.19634,0.59817,0.50568,0.56164,0.40822,1.07719,1.69257,1.25585,0.000451066,0.000451066,0.000451066
14,2332.5,0.91807,1.31906,1.16407,0.56858,0.54127,0.5477,0.40385,1.11262,1.72019,1.2936,0.000396071,0.000396071,0.000396071
15,2496.11,0.90913,1.1991,1.14772,0.72442,0.55642,0.60544,0.44889,1.04429,1.60051,1.21341,0.000341077,0.000341077,0.000341077
16,2659.87,0.88254,1.1549,1.14621,0.65709,0.53924,0.60567,0.44613,1.10905,1.5827,1.30015,0.000286083,0.000286083,0.000286083
17,2823.23,0.81093,1.03528,1.11288,0.61643,0.60152,0.59102,0.43621,1.04979,1.58552,1.23674,0.000231088,0.000231088,0.000231088
18,2987.88,0.8038,1.0031,1.094,0.68003,0.53679,0.62761,0.47703,1.03956,1.48153,1.24942,0.000176094,0.000176094,0.000176094
19,3151.61,0.78608,0.94689,1.08835,0.62,0.58354,0.61477,0.45691,1.05673,1.48509,1.24567,0.000121099,0.000121099,0.000121099
20,3316.18,0.77105,0.92114,1.07607,0.70238,0.5338,0.61146,0.46106,1.04759,1.4632,1.23756,6.61045e-05,6.61045e-05,6.61045e-05
